ID   X      Y
1 [719.9, 733.11]
2 [719.9, 707.7]
3 [758.01, 707.7]
4 [758.01, 733.11]
5 [808.81, 796.6]
6 [808.81, 821.99]
7 [808.81, 923.59]
8 [808.81, 898.2]
9 [808.81, 872.79]
10 [808.81, 847.4]
11 [859.61, 796.6]
12 [859.61, 821.99]
13 [859.61, 847.4]
14 [859.61, 872.79]
15 [859.61, 898.2]
16 [859.61, 923.59]
17 [859.61, 949.0]
18 [859.61, 974.39]
19 [859.61, 999.8]
20 [859.61, 1025.2]
21 [758.01, 1101.41]
22 [732.6, 1101.41]
23 [758.01, 1076.0]
24 [732.6, 1050.61]
25 [732.6, 1076.0]
26 [758.01, 1050.61]
27 [732.6, 1025.2]
28 [758.01, 1025.2]
29 [758.01, 999.8]
30 [808.81, 1025.2]
31 [808.81, 999.8]
32 [808.81, 974.39]
33 [808.81, 949.0]
34 [758.01, 949.0]
35 [758.01, 974.39]
36 [732.6, 999.8]
37 [732.6, 974.39]
38 [732.6, 949.0]
39 [681.8, 949.0]
40 [681.8, 974.39]
41 [681.8, 999.8]
42 [681.8, 1025.2]
43 [656.41, 1025.2]
44 [656.41, 999.8]
45 [758.01, 898.2]
46 [758.01, 923.59]
47 [732.6, 872.79]
48 [732.6, 847.4]
49 [758.01, 821.99]
50 [758.01, 847.4]
51 [758.01, 872.79]
52 [732.6, 898.2]
53 [732.6, 923.59]
54 [605.61, 796.6]
55 [605.61, 821.99]
56 [605.61, 847.4]
57 [605.61, 872.79]
58 [605.61, 898.2]
59 [605.61, 923.59]
60 [605.61, 949.0]
61 [605.61, 974.39]
62 [631.0, 999.8]
63 [605.61, 999.8]
64 [631.0, 1025.2]
65 [605.61, 1025.2]
66 [631.0, 1050.61]
67 [631.0, 1076.0]
68 [656.41, 1050.61]
69 [656.41, 1076.0]
70 [631.0, 1101.41]
71 [656.41, 1101.41]
72 [681.8, 1152.21]
73 [681.8, 1177.6]
74 [681.8, 1203.01]
75 [681.8, 1228.4]
76 [681.8, 1253.81]
77 [681.8, 1279.2]
78 [681.8, 1304.61]
79 [732.6, 1253.81]
80 [732.6, 1279.2]
81 [732.6, 1228.4]
82 [732.6, 1203.01]
83 [732.6, 1177.6]
84 [732.6, 1152.21]
85 [605.61, 1152.21]
86 [605.61, 1177.6]
87 [605.61, 1203.01]
88 [605.61, 1228.4]
89 [605.61, 1253.81]
90 [605.61, 1279.2]
91 [605.61, 1304.61]
92 [605.61, 1330.0]
93 [656.41, 1355.39]
94 [681.8, 1330.0]
95 [681.8, 1355.39]
96 [732.6, 1380.8]
97 [732.6, 1355.39]
98 [732.6, 1330.0]
99 [732.6, 1304.61]
100 [808.81, 1279.2]
101 [808.81, 1253.81]
102 [808.81, 1228.4]
103 [808.81, 1203.01]
104 [808.81, 1177.6]
105 [808.81, 1152.21]
106 [859.61, 1152.21]
107 [859.61, 1126.8]
108 [859.61, 1101.41]
109 [859.61, 1177.6]
110 [859.61, 1203.01]
111 [859.61, 1228.4]
112 [859.61, 1253.81]
113 [859.61, 1279.2]
114 [808.81, 1304.61]
115 [808.81, 1330.0]
116 [808.81, 1355.39]
117 [808.81, 1380.8]
118 [783.4, 1456.99]
119 [808.81, 1456.99]
120 [834.2, 1456.99]
121 [859.61, 1456.99]
122 [859.61, 1431.6]
123 [859.61, 1380.8]
124 [859.61, 1406.19]
125 [935.8, 1380.8]
126 [935.8, 1406.19]
127 [935.8, 1431.6]
128 [935.8, 1456.99]
129 [935.8, 1482.4]
130 [935.8, 1507.79]
131 [935.8, 1533.2]
132 [859.61, 1482.4]
133 [859.61, 1507.79]
134 [859.61, 1533.2]
135 [935.8, 1584.0]
136 [961.19, 1584.0]
137 [935.8, 1609.39]
138 [961.19, 1609.39]
139 [986.6, 1584.0]
140 [986.6, 1609.39]
141 [935.8, 1685.61]
142 [961.19, 1685.61]
143 [986.6, 1685.61]
144 [1011.99, 1685.61]
145 [986.6, 1736.41]
146 [961.19, 1736.41]
147 [935.8, 1736.41]
148 [834.2, 1685.61]
149 [808.81, 1685.61]
150 [783.4, 1685.61]
151 [758.01, 1685.61]
152 [681.8, 1609.39]
