vehicles_quantity: 3
1 [37.0, 52.0]
2 [49.0, 49.0]
3 [52.0, 64.0]
4 [20.0, 26.0]
5 [40.0, 30.0]
6 [21.0, 47.0]
7 [17.0, 63.0]
8 [31.0, 62.0]
9 [52.0, 33.0]
10 [51.0, 21.0]
11 [42.0, 41.0]
12 [31.0, 32.0]
13 [5.0, 25.0]
14 [12.0, 42.0]
15 [36.0, 16.0]
16 [52.0, 41.0]
17 [27.0, 23.0]
18 [17.0, 33.0]
19 [13.0, 13.0]
20 [57.0, 58.0]
21 [62.0, 42.0]
22 [42.0, 57.0]
23 [16.0, 57.0]
24 [8.0, 52.0]
25 [7.0, 38.0]
26 [27.0, 68.0]
27 [30.0, 48.0]
28 [43.0, 67.0]
29 [58.0, 48.0]
30 [58.0, 27.0]
31 [37.0, 69.0]
32 [38.0, 46.0]
33 [46.0, 10.0]
34 [61.0, 33.0]
35 [62.0, 63.0]
36 [63.0, 69.0]
37 [32.0, 22.0]
38 [45.0, 35.0]
39 [59.0, 15.0]
40 [5.0, 6.0]
41 [10.0, 17.0]
42 [21.0, 10.0]
43 [5.0, 64.0]
44 [30.0, 15.0]
45 [39.0, 10.0]
46 [32.0, 39.0]
47 [25.0, 32.0]
48 [25.0, 55.0]
49 [48.0, 28.0]
50 [56.0, 37.0]
51 [30.0, 40.0]
[0.0, 12.36931687685298, 19.209372712298546, 31.064449134018133, 22.20360331117452, 16.76305461424021, 22.825424421026653, 11.6619037896906, 24.207436873820413, 34.014702703389894, 12.08304597359457, 20.8806130178211, 41.86884283091664, 26.925824035672523, 36.013886210738214, 18.60107523773827, 30.675723300355937, 27.58622844826744, 45.79301256742124, 20.8806130178211, 26.925824035672523, 7.0710678118654755, 21.587033144922902, 29.0, 33.1058907144937, 18.867962264113206, 8.06225774829855, 16.155494421403514, 21.377558326431952, 32.64965543462902, 17.0, 6.0827625302982185, 42.95346318982905, 30.610455730027933, 27.313000567495326, 31.064449134018133, 30.413812651491096, 18.788294228055936, 43.046486500061775, 56.0357029044876, 44.20407221060069, 44.944410108488455, 34.17601498127012, 37.65634076752546, 42.04759208325727, 13.92838827718412, 23.3238075793812, 12.36931687685298, 26.400757564888174, 24.207436873820413, 13.892443989449806]
[12.36931687685298, 0.0, 15.297058540778355, 37.013511046643494, 21.02379604162864, 28.0713376952364, 34.92849839314596, 22.203603311174515, 16.278820596099706, 28.0713376952364, 10.63014581273465, 24.758836806279895, 50.11985634456667, 37.65634076752546, 35.4682957019364, 8.54400374531753, 34.058772731852805, 35.77708763999664, 50.91168824543143, 12.041594578792296, 14.7648230602334, 10.63014581273465, 33.95585369269929, 41.10960958218893, 43.41658669218482, 29.068883707497267, 19.026297590440446, 18.973665961010276, 9.055385138137417, 23.769728648009426, 23.3238075793812, 11.40175425099138, 39.11521443121589, 20.0, 19.1049731745428, 24.413111231467404, 31.906112267087636, 14.560219778561038, 35.440090293338706, 61.522353661088104, 50.44799302251775, 48.010415536631214, 46.486557196677836, 38.94868418830089, 40.2616442783948, 19.723082923316017, 29.410882339705484, 24.73863375370596, 21.023796041628636, 13.892443989449806, 21.02379604162864]
[19.209372712298546, 15.297058540778355, 0.0, 49.678969393496885, 36.0555127546399, 35.35533905932738, 35.014282800023196, 21.095023109728984, 31.0, 43.01162633521314, 25.079872407968903, 38.27531841800928, 61.073725938409886, 45.65084884205331, 50.59644256269407, 23.0, 48.02082881417187, 46.75467891024384, 64.20280367709807, 7.810249675906656, 24.16609194718914, 12.206555615733702, 36.6742416417845, 45.60701700396552, 51.97114584074512, 25.317977802344327, 27.202941017470888, 9.486832980505138, 17.08800749063506, 37.48332962798263, 15.811388300841898, 22.80350850198276, 54.3323108288245, 32.28002478313795, 10.04987562112089, 12.08304597359457, 46.518813398452025, 29.832867780352593, 49.49747468305833, 74.65252842335616, 63.03173803727769, 62.26556030423239, 47.0, 53.712196007983145, 55.54277630799527, 32.01562118716424, 41.86884283091664, 28.460498941515414, 36.22154055254967, 27.294688127912362, 32.55764119219941]
[31.064449134018133, 37.013511046643494, 49.678969393496885, 0.0, 20.39607805437114, 21.023796041628636, 37.12142238654117, 37.64306044943742, 32.7566787083184, 31.40063693621516, 26.627053911388693, 12.529964086141668, 15.03329637837291, 17.88854381999832, 18.867962264113206, 35.34119409414458, 7.615773105863909, 7.615773105863909, 14.7648230602334, 48.91829923454004, 44.944410108488455, 38.01315561749643, 31.256999216175565, 28.635642126552703, 17.69180601295413, 42.57933771208753, 24.16609194718914, 47.01063709417263, 43.9089968002003, 38.01315561749642, 46.238512086787566, 26.907248094147423, 30.528675044947498, 41.59326868617084, 55.97320787662612, 60.81118318204309, 12.649110640673518, 26.570660511172843, 40.521599178709614, 25.0, 13.453624047073712, 16.0312195418814, 40.85339643163099, 14.866068747318504, 24.839484696748443, 17.69180601295413, 7.810249675906656, 29.427877939124325, 28.0713376952364, 37.64306044943742, 17.204650534085253]
[22.20360331117452, 21.02379604162864, 36.0555127546399, 20.39607805437114, 0.0, 25.495097567963924, 40.22437072223754, 33.24154027718932, 12.36931687685298, 14.212670403551897, 11.180339887498947, 9.219544457292889, 35.35533905932738, 30.463092423455635, 14.560219778561038, 16.278820596099706, 14.7648230602334, 23.194827009486403, 31.906112267087636, 32.7566787083184, 25.059928172283335, 27.073972741361768, 36.124783736376884, 38.8329756778952, 33.95585369269929, 40.162171256046406, 20.591260281974, 37.12142238654117, 25.455844122715714, 18.248287590894655, 39.11521443121589, 16.1245154965971, 20.8806130178211, 21.213203435596427, 39.66106403010388, 45.27692569068708, 11.313708498984761, 7.0710678118654755, 24.207436873820413, 42.43819034784589, 32.69556544854363, 27.58622844826744, 48.79549159502341, 18.027756377319946, 20.024984394500787, 12.041594578792296, 15.132745950421555, 29.1547594742265, 8.246211251235321, 17.46424919657298, 14.142135623730951]
[16.76305461424021, 28.0713376952364, 35.35533905932738, 21.023796041628636, 25.495097567963924, 0.0, 16.492422502470642, 18.027756377319946, 34.014702703389894, 39.698866482558415, 21.840329667841555, 18.027756377319946, 27.202941017470888, 10.295630140987, 34.43835071544513, 31.57530680769389, 24.73863375370596, 14.560219778561038, 34.92849839314596, 37.64306044943742, 41.30375285612676, 23.259406699226012, 11.180339887498949, 13.92838827718412, 16.64331697709324, 21.840329667841555, 9.055385138137417, 29.73213749463701, 37.0135110466435, 42.05948168962618, 27.202941017470888, 17.029386365926403, 44.65422712353221, 42.37924020083418, 44.011362169330766, 47.41307836451879, 27.313000567495326, 26.832815729997478, 49.678969393496885, 44.011362169330766, 31.953090617340916, 37.0, 23.3452350598575, 33.24154027718932, 41.14608122288197, 13.601470508735444, 15.524174696260024, 8.94427190999916, 33.015148038438355, 36.40054944640259, 11.40175425099138]
[22.825424421026653, 34.92849839314596, 35.014282800023196, 37.12142238654117, 40.22437072223754, 16.492422502470642, 0.0, 14.0356688476182, 46.09772228646443, 54.03702434442519, 33.30165161069342, 34.014702703389894, 39.84971769034255, 21.587033144922902, 50.6951674225463, 41.340053217188775, 41.23105625617661, 30.0, 50.15974481593781, 40.311288741492746, 49.65883607174055, 25.709920264364882, 6.0827625302982185, 14.212670403551897, 26.925824035672523, 11.180339887498949, 19.849433241279208, 26.305892875931807, 43.65775990588614, 54.56189146281496, 20.8806130178211, 27.018512172212596, 60.415229867972855, 53.254107822777385, 45.0, 46.389654018972806, 43.65775990588614, 39.59797974644666, 63.7808748764079, 58.249463516842795, 46.52956049652737, 53.15072906367325, 12.041594578792294, 49.72926703662542, 57.384666941614284, 28.30194339616981, 32.01562118716424, 11.313708498984761, 46.75467891024384, 46.87216658103186, 26.419689627245813]
[11.6619037896906, 22.203603311174515, 21.095023109728984, 37.64306044943742, 33.24154027718932, 18.027756377319946, 14.0356688476182, 0.0, 35.805027579936315, 45.617978911828175, 23.706539182259394, 30.0, 45.221676218380054, 27.58622844826744, 46.270941205037104, 29.698484809834998, 39.20459156782532, 32.202484376209235, 52.201532544552755, 26.305892875931807, 36.89173349139343, 12.08304597359457, 15.811388300841898, 25.079872407968903, 33.941125496954285, 7.211102550927979, 14.0356688476182, 13.0, 30.413812651491096, 44.20407221060069, 9.219544457292887, 17.46424919657298, 54.12023651093923, 41.725292090050125, 31.016124838541643, 32.7566787083184, 40.01249804748512, 30.413812651491096, 54.70831746635972, 61.741396161732524, 49.65883607174055, 52.952809179494906, 26.076809620810597, 47.01063709417264, 52.611785751863614, 23.021728866442675, 30.59411708155671, 9.219544457292887, 38.01315561749642, 35.35533905932738, 22.02271554554524]
[24.207436873820413, 16.278820596099706, 31.0, 32.7566787083184, 12.36931687685298, 34.014702703389894, 46.09772228646443, 35.805027579936315, 0.0, 12.041594578792294, 12.806248474865697, 21.023796041628636, 47.67598976424087, 41.0, 23.3452350598575, 8.0, 26.925824035672523, 35.0, 43.82921400162225, 25.495097567963924, 13.453624047073712, 26.0, 43.266615305567875, 47.92702786528703, 45.27692569068709, 43.01162633521314, 26.627053911388693, 35.17101079013795, 16.155494421403514, 8.485281374238571, 39.0, 19.1049731745428, 23.769728648009423, 9.0, 31.622776601683796, 37.64306044943742, 22.825424421026653, 7.280109889280519, 19.313207915827967, 54.203320931470614, 44.944410108488455, 38.600518131237564, 56.302753041036986, 28.425340807103794, 26.419689627245813, 20.8806130178211, 27.018512172212592, 34.828149534536, 6.4031242374328485, 5.656854249492381, 23.08679276123039]
[34.014702703389894, 28.0713376952364, 43.01162633521314, 31.40063693621516, 14.212670403551897, 39.698866482558415, 54.03702434442519, 45.617978911828175, 12.041594578792294, 0.0, 21.93171219946131, 22.825424421026653, 46.17358552246079, 44.294469180700204, 15.811388300841898, 20.024984394500787, 24.083189157584588, 36.0555127546399, 38.8329756778952, 37.48332962798263, 23.706539182259394, 37.107950630558946, 50.20956084253277, 53.009433122794285, 47.16990566028302, 52.773099207835045, 34.20526275297414, 46.69047011971501, 27.892651361962706, 9.219544457292887, 50.0, 28.178005607210743, 12.08304597359457, 15.620499351813312, 43.41658669218482, 49.47726750741192, 19.026297590440446, 15.231546211727817, 10.0, 48.38388161361178, 41.19465984809196, 31.953090617340916, 62.96824596572467, 21.840329667841555, 16.278820596099706, 26.1725046566048, 28.23118842698621, 42.80186911806539, 7.615773105863909, 16.76305461424021, 28.31960451701259]
[12.08304597359457, 10.63014581273465, 25.079872407968903, 26.627053911388693, 11.180339887498947, 21.840329667841555, 33.30165161069342, 23.706539182259394, 12.806248474865697, 21.93171219946131, 0.0, 14.212670403551897, 40.311288741492746, 30.01666203960727, 25.709920264364882, 10.0, 23.430749027719965, 26.248809496813376, 40.31128874149275, 22.671568097509265, 20.024984394500787, 16.0, 30.528675044947498, 35.73513677041127, 35.12833614050059, 30.886890422961002, 13.892443989449806, 26.019223662515373, 17.46424919657298, 21.2602916254693, 28.442925306655788, 6.4031242374328485, 31.256999216175565, 20.6155281280883, 29.73213749463701, 35.0, 21.470910553583888, 6.708203932499369, 31.064449134018133, 50.93132631298737, 40.0, 37.443290453698104, 43.56604182158394, 28.635642126552703, 31.144823004794876, 10.19803902718557, 19.235384061671343, 22.022715545545243, 14.317821063276352, 14.560219778561038, 12.041594578792294]
[20.8806130178211, 24.758836806279895, 38.27531841800928, 12.529964086141668, 9.219544457292889, 18.027756377319946, 34.014702703389894, 30.0, 21.023796041628636, 22.825424421026653, 14.212670403551897, 0.0, 26.92582403567252, 21.470910553583888, 16.76305461424021, 22.847319317591726, 9.848857801796104, 14.0356688476182, 26.1725046566048, 36.76955262170048, 32.57299494980467, 27.313000567495326, 29.1547594742265, 30.479501308256342, 24.73863375370596, 36.22154055254967, 16.0312195418814, 37.0, 31.38470965295043, 27.459060435491963, 37.48332962798263, 15.652475842498529, 26.627053911388693, 30.01666203960727, 43.84062043356595, 48.91829923454004, 10.04987562112089, 14.317821063276352, 32.7566787083184, 36.76955262170048, 25.80697580112788, 24.16609194718914, 41.23105625617661, 17.029386365926403, 23.40939982143925, 7.0710678118654755, 6.0, 23.769728648009423, 17.46424919657298, 25.495097567963924, 8.06225774829855]
[41.86884283091664, 50.11985634456667, 61.073725938409886, 15.03329637837291, 35.35533905932738, 27.202941017470888, 39.84971769034255, 45.221676218380054, 47.67598976424087, 46.17358552246079, 40.311288741492746, 26.92582403567252, 0.0, 18.38477631085024, 32.28002478313795, 49.64876634922564, 22.090722034374522, 14.422205101855958, 14.422205101855958, 61.587336360651285, 59.48108943185221, 48.91829923454004, 33.83784863137726, 27.16615541441225, 13.152946437965904, 48.30113870293329, 33.97057550292606, 56.63920903402518, 57.77542730261717, 53.037722424704484, 54.405882034941776, 39.11521443121589, 43.65775990588614, 56.568542494923804, 68.5054742338158, 72.80109889280517, 27.16615541441225, 41.23105625617661, 54.91812087098393, 19.0, 9.433981132056603, 21.93171219946131, 39.0, 26.925824035672523, 37.16180835212409, 30.413812651491096, 21.18962010041709, 36.05551275463989, 43.10452412450461, 52.39274758971894, 29.1547594742265]
[26.925824035672523, 37.65634076752546, 45.65084884205331, 17.88854381999832, 30.463092423455635, 10.295630140987, 21.587033144922902, 27.58622844826744, 41.0, 44.294469180700204, 30.01666203960727, 21.470910553583888, 18.38477631085024, 0.0, 35.38361202590826, 40.01249804748512, 24.207436873820413, 10.295630140987, 29.017236257093817, 47.75981574503821, 50.0, 33.54101966249685, 15.524174696260024, 10.77032961426901, 6.4031242374328485, 30.016662039607265, 18.973665961010276, 39.82461550347975, 46.389654018972806, 48.38388161361178, 36.796738985948195, 26.305892875931807, 46.690470119715, 49.81967482832461, 54.230987451824994, 57.706152185014034, 28.284271247461902, 33.734255586866006, 54.203320931470614, 36.6742416417845, 25.079872407968907, 33.24154027718932, 23.08679276123039, 32.449961479175904, 41.86884283091664, 20.223748416156685, 16.401219466856723, 18.38477631085024, 38.62641583165593, 44.28317965096906, 18.110770276274835]
[36.013886210738214, 35.4682957019364, 50.59644256269407, 18.867962264113206, 14.560219778561038, 34.43835071544513, 50.6951674225463, 46.270941205037104, 23.3452350598575, 15.811388300841898, 25.709920264364882, 16.76305461424021, 32.28002478313795, 35.38361202590826, 0.0, 29.68164415931166, 11.40175425099138, 25.495097567963924, 23.194827009486403, 46.95742752749558, 36.76955262170048, 41.43669871020132, 45.617978911828175, 45.60701700396552, 36.400549446402586, 52.77309920783504, 32.55764119219941, 51.478150704935004, 38.8329756778952, 24.596747752497688, 53.009433122794285, 30.06659275674582, 11.6619037896906, 30.23243291566195, 53.71219600798314, 59.481089431852205, 7.211102550927979, 21.02379604162864, 23.021728866442675, 32.57299494980467, 26.019223662515373, 16.155494421403514, 57.140178508646606, 6.0827625302982185, 6.708203932499369, 23.345235059857504, 19.4164878389476, 40.521599178709614, 16.970562748477143, 29.0, 24.73863375370596]
[18.60107523773827, 8.54400374531753, 23.0, 35.34119409414458, 16.278820596099706, 31.57530680769389, 41.340053217188775, 29.698484809834998, 8.0, 20.024984394500787, 10.0, 22.847319317591726, 49.64876634922564, 40.01249804748512, 29.68164415931166, 0.0, 30.80584360149873, 35.90264614203249, 48.010415536631214, 17.720045146669353, 10.04987562112089, 18.867962264113206, 39.395431207184416, 45.35416188179427, 45.09988913511873, 36.796738985948195, 23.08679276123039, 27.51363298439521, 9.219544457292887, 15.231546211727817, 31.76476034853718, 14.866068747318506, 31.57530680769389, 12.041594578792296, 24.16609194718914, 30.083217912982644, 27.58622844826744, 9.219544457292887, 26.92582403567252, 58.60034129593445, 48.373546489791295, 43.84062043356595, 52.32590180780451, 34.058772731852805, 33.61547262794323, 20.09975124224178, 28.460498941515414, 30.413812651491096, 13.601470508735444, 5.656854249492381, 22.02271554554524]
[30.675723300355937, 34.058772731852805, 48.02082881417187, 7.615773105863909, 14.7648230602334, 24.73863375370596, 41.23105625617661, 39.20459156782532, 26.925824035672523, 24.083189157584588, 23.430749027719965, 9.848857801796104, 22.090722034374522, 24.207436873820413, 11.40175425099138, 30.80584360149873, 0.0, 14.142135623730951, 17.204650534085253, 46.09772228646443, 39.824615503479755, 37.16180835212409, 35.73513677041127, 34.66987164671943, 25.0, 45.0, 25.179356624028344, 46.8187996428785, 39.82461550347975, 31.256999216175565, 47.07440918375928, 25.495097567963924, 23.021728866442675, 35.440090293338706, 53.15072906367325, 58.41232746604094, 5.099019513592785, 21.633307652783937, 32.984845004941285, 27.80287754891569, 18.02775637731995, 14.317821063276352, 46.529560496527374, 8.54400374531753, 17.69180601295413, 16.76305461424021, 9.219544457292889, 32.0624390837628, 21.587033144922902, 32.202484376209235, 17.26267650163207]
[27.58622844826744, 35.77708763999664, 46.75467891024384, 7.615773105863909, 23.194827009486403, 14.560219778561038, 30.0, 32.202484376209235, 35.0, 36.0555127546399, 26.248809496813376, 14.0356688476182, 14.422205101855958, 10.295630140987, 25.495097567963924, 35.90264614203249, 14.142135623730951, 0.0, 20.39607805437114, 47.169905660283014, 45.89117562233507, 34.655446902326915, 24.020824298928627, 21.02379604162864, 11.180339887498949, 36.40054944640259, 19.849433241279208, 42.80186911806539, 43.65775990588614, 41.43669871020132, 41.182520563948, 24.698178070456937, 37.013511046643494, 44.0, 54.08326913195984, 58.41232746604094, 18.60107523773827, 28.0713376952364, 45.69463863518345, 29.546573405388315, 17.46424919657298, 23.345235059857504, 33.24154027718932, 22.203603311174515, 31.827660925679098, 16.155494421403514, 8.06225774829855, 23.40939982143925, 31.40063693621516, 39.20459156782532, 14.7648230602334]
